y,x,filtered_y,filtered_x
-0.01858549,-0.002929732,-0.01394538,-0.0018065
-0.01907378,-0.002929732,-0.01392499,-0.001879147
-0.01907378,-0.002441443,-0.01397693,-0.001822783
-0.01858549,-0.002441443,-0.01393856,-0.001837463
-0.01907378,-0.003418021,-0.01400054,-0.001879538
-0.02005035,-0.002441443,-0.01417473,-0.001960792
-0.01956207,-0.002929732,-0.01430633,-0.001952927
-0.01907378,-0.002441443,-0.01433781,-0.002000996
-0.01907378,-0.002929732,-0.01434512,-0.001987703
-0.01956207,-0.002929732,-0.01436644,-0.002102847
-0.01907378,-0.002441443,-0.01442462,-0.00204443
-0.01858549,-0.002929732,-0.01438186,-0.002053226
-0.01858549,-0.002929732,-0.01435059,-0.002080542
-0.01907378,-0.002441443,-0.01437162,-0.002098696
-0.01858549,-0.002929732,-0.01435993,-0.00204058
-0.01907378,-0.002929732,-0.01425836,-0.002091342
-0.01562524,-0.003418021,-0.01404979,-0.002108657
-0.01956207,-0.002929732,-0.01393223,-0.002169816
-0.01956207,-0.003418021,-0.01409885,-0.002178634
-0.01907378,-0.002929732,-0.013961,-0.002212093
-0.01907378,-0.002929732,-0.01404444,-0.002219047
-0.01956207,-0.002441443,-0.01403513,-0.002219862
-0.01907378,-0.002441443,-0.01415268,-0.002151198
-0.01907378,-0.002441443,-0.01408598,-0.002176859
-0.01907378,-0.002929732,-0.01417825,-0.002147438
-0.01907378,-0.002441443,-0.01413316,-0.002144888
-0.01907378,-0.002441443,-0.01442059,-0.002043348
-0.01858549,-0.002929732,-0.01435094,-0.002054949
-0.01907378,-0.002441443,-0.01430063,-0.001981958
-0.01907378,-0.001464866,-0.01430966,-0.001887556
-0.01907378,-0.002929732,-0.0143018,-0.001844893
-0.01907378,-0.002929732,-0.01427317,-0.001915427
-0.01858549,-0.002441443,-0.01423658,-0.001896098
-0.01858549,-0.002441443,-0.01419965,-0.001912875
-0.01858549,-0.002929732,-0.01416277,-0.001890702
-0.01907378,-0.002441443,-0.01415291,-0.001916947
-0.01956207,-0.002441443,-0.01418798,-0.001894854
-0.01956207,-0.001464866,-0.01426097,-0.001824296
-0.01907378,-0.002929732,-0.01427321,-0.001796396
-0.01907378,-0.002929732,-0.01426296,-0.001958477
-0.01858549,-0.002929732,-0.01424465,-0.001920369
-0.01907378,-0.002441443,-0.01421949,-0.001925101
-0.01956207,-0.002929732,-0.01430328,-0.00191493
-0.01907378,-0.002929732,-0.01434147,-0.00199205
-0.01858549,-0.002441443,-0.01435079,-0.001932278
-0.01956207,-0.002929732,-0.01436302,-0.001977398
-0.01956207,-0.002441443,-0.01438532,-0.001980156
